conjunto;decision_id;timestamp;campanha;acao;roas;gasto_brl;resultado;acerto_db;via_procedimental;label_criterio;label_humano;justificativa_humana;motivo_original
BOM_ANCHOR;ba747c4a;2026-05-04 20:02;470257;pausar_campanha;0.05;2799;pendente_aprovacao;false;expirou;RUIM;BOM;ROAS 0.05 com R$2.799 gastos: cada R$1 adicional retorna R$0,05. Pausar e dominante e reversivel.;ROAS 0.05x com R$2798.8 gastos
BOM_ANCHOR;0ef9b982;2026-05-04 20:02;470257;pausar_campanha;0;2799;pendente_aprovacao;false;expirou;RUIM;BOM;ROAS 0 com R$2.799 gastos: retorno nulo sobre verba alta. Pausar e correto.;ROAS 0x com R$2798.8 gastos
BOM_ANCHOR;6d79ee1c;2026-05-04 20:02;970257;pausar_campanha;0;2418;pendente_aprovacao;false;expirou;RUIM;BOM;ROAS 0 com R$2.418. Atribuicao comprovadamente funciona nesta campanha (pico 2.11x): zero e real.;ROAS 0x com R$2417.83 gastos
BOM_ANCHOR;ef380695;2026-05-04 20:02;910257;pausar_campanha;0;2840;pendente_aprovacao;false;expirou;RUIM;BOM;ROAS 0 com R$2.840. Atribuicao comprovada nesta campanha (pico 8.61x): zero e real.;ROAS 0x com R$2840.14 gastos
BOM_ANCHOR;983e654a;2026-05-04 20:02;230052;pausar_campanha;0;2467;pendente_aprovacao;false;expirou;RUIM;BOM;ROAS 0 com R$2.467. Atribuicao comprovada (pico 4.33x): zero e real.;ROAS 0x com R$2466.54 gastos
BOM_ANCHOR;2511f231;2026-05-04 20:02;230052;pausar_campanha;0;2467;pendente_aprovacao;false;expirou;RUIM;BOM;Idem 983e654a. Emissao duplicada no mesmo segundo.;ROAS 0x com R$2466.54 gastos
BOM_ANCHOR;f7b30188;2026-05-04 20:02;970257;pausar_campanha;0;2418;pendente_aprovacao;false;expirou;RUIM;BOM;Idem 6d79ee1c. Emissao duplicada.;ROAS 0x com R$2417.83 gastos
BOM_ANCHOR;376bcff5;2026-05-04 20:02;970257;pausar_campanha;0;2418;pendente_aprovacao;false;expirou;RUIM;BOM;Idem 6d79ee1c. Emissao duplicada.;ROAS 0x com R$2417.83 gastos
BOM_ANCHOR;ab5fb8dd;2026-05-04 20:02;910257;pausar_campanha;0;2840;pendente_aprovacao;false;expirou;RUIM;BOM;Idem ef380695. Emissao duplicada.;ROAS 0x com R$2840.14 gastos
BOM_ANCHOR;e400e90d;2026-05-04 20:02;230052;pausar_campanha;0;2467;pendente_aprovacao;false;expirou;RUIM;BOM;Idem 983e654a. Emissao duplicada.;ROAS 0x com R$2466.54 gastos
